id,name,artist_id,artist_name,playlist_name,playlist_id,added_at,duration_ms,release_date,explicit,popularity,preview_url,image_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
3PoufwSX7RAUSG3uzIKI9V,Commanding The Fury,The Sword of Destiny,4oV9r0j82svf2RtbBtTZBt,6lGCmXtqSxze8o2KEfYD6D,Mikolai Stroinski,2016-11-06T21:36:30Z,128341,2015-08-26,False,0,,https://i.scdn.co/image/ab67616d0000b2734216f8e82f353ad24877af5a,0.537,0.783,7,-11.823,0,0.0478,0.089,0.0142,0.588,0.357,90.02,4
4Id2g80LHkdlv3H93KfTFf,Emhyr Var Emreis,The Sword of Destiny,4oV9r0j82svf2RtbBtTZBt,07vycW8ICLf5hKb22PFWXw,Marcin Przybyłowicz,2016-11-06T21:36:30Z,149504,2015-08-26,False,0,,https://i.scdn.co/image/ab67616d0000b2734216f8e82f353ad24877af5a,0.168,0.415,4,-14.367,0,0.0386,0.311,0.945,0.151,0.0548,113.869,4
149g1z4mDkQsNG8ZB0xbev,Spikeroog,The Sword of Destiny,4oV9r0j82svf2RtbBtTZBt,6lGCmXtqSxze8o2KEfYD6D,Mikolai Stroinski,2016-11-06T21:36:30Z,185699,2015-08-26,False,0,,https://i.scdn.co/image/ab67616d0000b2734216f8e82f353ad24877af5a,0.151,0.168,2,-14.513,0,0.0363,0.969,0.849,0.0824,0.054,148.828,4
5GelOhjjpb4X1GsExeWLZN,King Bran's Final Voyage,The Sword of Destiny,4oV9r0j82svf2RtbBtTZBt,07vycW8ICLf5hKb22PFWXw,Marcin Przybyłowicz,2016-11-06T21:36:30Z,132436,2015-08-26,False,0,,https://i.scdn.co/image/ab67616d0000b2734216f8e82f353ad24877af5a,0.0799,0.135,2,-20.011,0,0.0444,0.744,0.925,0.178,0.0551,172.468,4
1nuKx5lJ1pK0ZEytsr3d2Q,Silver For Monsters...,The Sword of Destiny,4oV9r0j82svf2RtbBtTZBt,4vATWjWf6AYUj0tyKD6sDM,Percival Schuttenbach,2016-11-06T21:36:30Z,139945,2015-08-26,False,0,,https://i.scdn.co/image/ab67616d0000b2734216f8e82f353ad24877af5a,0.498,0.888,2,-7.445,1,0.0357,0.0625,5.56e-05,0.0793,0.311,90.046,4
1KU1pWuZXhBnKkJawssJGI,Whispers Of Oxenfurt,The Sword of Destiny,4oV9r0j82svf2RtbBtTZBt,6lGCmXtqSxze8o2KEfYD6D,Mikolai Stroinski,2016-11-06T21:36:30Z,154666,2015-08-26,False,0,,https://i.scdn.co/image/ab67616d0000b2734216f8e82f353ad24877af5a,0.14,0.355,2,-11.834,0,0.0316,0.268,0.00064,0.138,0.161,89.669,3
16E0MUDEEEJHY4qO85gVPZ,The Nightingale,The Sword of Destiny,4oV9r0j82svf2RtbBtTZBt,4vATWjWf6AYUj0tyKD6sDM,Percival Schuttenbach,2016-11-06T21:36:30Z,99567,2015-08-26,False,0,,https://i.scdn.co/image/ab67616d0000b2734216f8e82f353ad24877af5a,0.787,0.722,0,-11.92,1,0.0287,0.654,0.971,0.182,0.746,90.07,3
648RyrssyNy7OhNigHIgXF,City Of Intrigues,The Sword of Destiny,4oV9r0j82svf2RtbBtTZBt,6lGCmXtqSxze8o2KEfYD6D,Mikolai Stroinski,2016-11-06T21:36:30Z,126424,2015-08-26,False,0,,https://i.scdn.co/image/ab67616d0000b2734216f8e82f353ad24877af5a,0.504,0.828,0,-13.421,1,0.0303,0.137,0.835,0.189,0.682,79.968,4
1CqPzv5lIe523YxH11YPpg,The Hunter's Path,The Sword of Destiny,4oV9r0j82svf2RtbBtTZBt,07vycW8ICLf5hKb22PFWXw,Marcin Przybyłowicz,2016-11-06T21:36:30Z,172031,2015-08-26,False,0,,https://i.scdn.co/image/ab67616d0000b2734216f8e82f353ad24877af5a,0.426,0.334,2,-15.671,0,0.0288,0.363,0.926,0.143,0.0385,90.009,4
2sbzrOjYU5YHstqte7ongu,Widow-Maker,The Sword of Destiny,4oV9r0j82svf2RtbBtTZBt,6lGCmXtqSxze8o2KEfYD6D,Mikolai Stroinski,2016-11-06T21:36:30Z,130389,2015-08-26,False,0,,https://i.scdn.co/image/ab67616d0000b2734216f8e82f353ad24877af5a,0.586,0.71,10,-9.197,1,0.038,0.0763,0.00038,0.177,0.362,120.039,4
6MPL7WpETrp3N8RmRMMZGK,Kaer Morhen,The Sword of Destiny,4oV9r0j82svf2RtbBtTZBt,07vycW8ICLf5hKb22PFWXw,Marcin Przybyłowicz,2016-11-06T21:36:30Z,155109,2015-08-26,False,0,,https://i.scdn.co/image/ab67616d0000b2734216f8e82f353ad24877af5a,0.384,0.342,2,-13.777,0,0.0307,0.826,0.777,0.167,0.0514,140.133,4
5Dlyn2SzsKWkfculVur8uP,Eyes Of The Wolf,The Sword of Destiny,4oV9r0j82svf2RtbBtTZBt,6lGCmXtqSxze8o2KEfYD6D,Mikolai Stroinski,2016-11-06T21:36:30Z,124187,2015-08-26,False,0,,https://i.scdn.co/image/ab67616d0000b2734216f8e82f353ad24877af5a,0.672,0.616,0,-11.317,0,0.0289,0.305,0.341,0.412,0.553,106.029,3
