id,name,album_id,album_name,artist_id,artist_name,added_at,duration_ms,release_date,explicit,popularity,preview_url,image_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
6ZwhcN8AESa4Hu1uejkzRu,Tokyo Emergency,59EGCpcr4n9pxSNr2vhYeO,Metagroove,5PTaHqgfY54BzqeWfSvAGE,J-Music Ensemble,2021-02-04T19:51:12Z,261555,2020-09-28,False,38,https://p.scdn.co/mp3-preview/593d3677775d462680e67bc42e845fc802d1d87c?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b2736732231202fc1dcca611e319,0.639,0.632,5,-12.265,0,0.0404,0.522,0.782,0.108,0.661,128.073,4
2uU9L2yyDd3nJ7BDXCs85k,"King, Queen, and Slave",59EGCpcr4n9pxSNr2vhYeO,Metagroove,5PTaHqgfY54BzqeWfSvAGE,J-Music Ensemble,2021-02-04T19:51:12Z,373867,2020-09-28,False,38,https://p.scdn.co/mp3-preview/9a4cbbef95dda94df08ddcbadd4faf9ea48bd417?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b2736732231202fc1dcca611e319,0.609,0.565,10,-11.173,0,0.0472,0.00849,0.684,0.209,0.763,144.956,4
1HfLShKZXY2t6gC4f71Q7F,What's Going On?,59EGCpcr4n9pxSNr2vhYeO,Metagroove,5PTaHqgfY54BzqeWfSvAGE,J-Music Ensemble,2021-02-04T19:51:12Z,496547,2020-09-28,False,38,https://p.scdn.co/mp3-preview/ae31fe6bf17aa59ef444d572814f7f054a3cf304?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b2736732231202fc1dcca611e319,0.66,0.755,1,-9.863,1,0.0462,0.25,0.505,0.0953,0.627,112.117,4
2ovB3nuoEZiPGVzO41v3NH,Butterfly Kiss,59EGCpcr4n9pxSNr2vhYeO,Metagroove,5PTaHqgfY54BzqeWfSvAGE,J-Music Ensemble,2021-02-04T19:51:12Z,485155,2020-09-28,False,38,https://p.scdn.co/mp3-preview/e1f73e5bb9379edd4274188d9cfdec0b5f679c64?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b2736732231202fc1dcca611e319,0.693,0.391,11,-14.958,0,0.0511,0.258,0.627,0.0989,0.69,95.934,4
5JvFjt2gJz9VlffxZm14l4,A Woman,59EGCpcr4n9pxSNr2vhYeO,Metagroove,5PTaHqgfY54BzqeWfSvAGE,J-Music Ensemble,2021-02-04T19:51:12Z,296607,2020-09-28,False,38,https://p.scdn.co/mp3-preview/4acb924970a42dc7383ca8e469bad7fa72ae8563?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b2736732231202fc1dcca611e319,0.727,0.374,9,-13.097,0,0.0454,0.765,0.575,0.108,0.173,139.999,4
3WazvxZgyzi5TWUkybJbJL,Price,59EGCpcr4n9pxSNr2vhYeO,Metagroove,5PTaHqgfY54BzqeWfSvAGE,J-Music Ensemble,2021-02-04T19:51:12Z,450123,2020-09-28,False,38,https://p.scdn.co/mp3-preview/0f1eea0affd3e7d77ed0c5363c6c636998de28ed?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b2736732231202fc1dcca611e319,0.52,0.67,6,-11.175,0,0.0837,0.0676,0.554,0.0819,0.691,189.898,4
5qq5SiQbIPJl2InT567wgL,Life Goes On,59EGCpcr4n9pxSNr2vhYeO,Metagroove,5PTaHqgfY54BzqeWfSvAGE,J-Music Ensemble,2021-02-04T19:51:12Z,463247,2020-09-28,False,38,https://p.scdn.co/mp3-preview/1eba0d2c83e7d1f7555d6cbae82e0eabee0000c7?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b2736732231202fc1dcca611e319,0.654,0.597,6,-14.735,0,0.039,0.436,0.849,0.0956,0.879,111.985,4
4qJ7NGQUlVPZ8gDuxo9Bwe,The Days When My Mother Was There,59EGCpcr4n9pxSNr2vhYeO,Metagroove,5PTaHqgfY54BzqeWfSvAGE,J-Music Ensemble,2021-02-04T19:51:12Z,364530,2020-09-28,False,38,https://p.scdn.co/mp3-preview/62adc41e06ab1ca1767ea79b322ca458cb513ca1?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b2736732231202fc1dcca611e319,0.663,0.418,9,-12.715,0,0.0447,0.119,0.157,0.0873,0.424,107.014,4
7mcEjkxHW9jKBWXb3T0M4p,Layer Cake,59EGCpcr4n9pxSNr2vhYeO,Metagroove,5PTaHqgfY54BzqeWfSvAGE,J-Music Ensemble,2021-02-04T19:51:12Z,380478,2020-09-28,False,38,https://p.scdn.co/mp3-preview/20e3f05cce2f6383d7ef8f5c64611a2911f0688f?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b2736732231202fc1dcca611e319,0.677,0.595,11,-14.295,0,0.052,0.449,0.9,0.0579,0.589,129.995,4
78PmJZ0yLgo6d6qY9PzeBY,Beneath the Mask,59EGCpcr4n9pxSNr2vhYeO,Metagroove,5PTaHqgfY54BzqeWfSvAGE,J-Music Ensemble,2021-02-04T19:51:12Z,316417,2020-09-28,False,38,https://p.scdn.co/mp3-preview/2f8e3d93b0ada48b789582a839441ba1160e1a3c?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b2736732231202fc1dcca611e319,0.66,0.28,7,-15.06,0,0.0331,0.56,0.000186,0.116,0.205,74.976,4
